date,pm2.5,Average of Temperature,Average of Humidity,Average of Wind_speed
15-Dec-2021,23.3904818,35.22734475,49.79021413,0.065149893
16-Dec-2021,17.85661693,36.51122831,47.1883449,0.052685635
17-Dec-2021,15.05715775,36.37997915,47.19919388,0.532063933
18-Dec-2021,15.06763194,35.41783333,42.99930556,0.901263889
19-Dec-2021,16.85255208,33.05207292,43.91254861,0.329663194
20-Dec-2021,36.74221181,32.37972222,48.37186458,0.07353125
21-Dec-2021,41.31589583,33.81079514,47.29478819,0.042590278
22-Dec-2021,35.73874306,35.17926389,47.11357986,0.053274306
23-Dec-2021,25.21605692,36.25243665,47.51576189,0.089514058
24-Dec-2021,18.19727778,35.86990625,52.62890278,0.243041667
25-Dec-2021,10.69069792,36.31335069,51.69246875,0.241517361
26-Dec-2021,12.78242014,35.93276042,51.63563542,0.259777778
27-Dec-2021,9.549365245,36.73698925,47.10834547,0.332722858
28-Dec-2021,4.512326389,35.37242708,45.10988889,0.349229167
29-Dec-2021,6.568048611,35.87640625,46.18179514,0.192274306
30-Dec-2021,6.443670139,35.44232292,47.98467014,0.235614583
31-Dec-2021,6.089680556,34.76822222,46.25164931,0.431572917
1-Jan-2022,8.244059028,33.6203125,47.20532292,0.458416667
2-Jan-2022,11.94389024,33.86182008,48.26317471,0.117412296
3-Jan-2022,12.7234375,34.40684375,47.87840625,0.16603125
4-Jan-2022,13.08124566,35.02185635,48.65310895,0.030426787
5-Jan-2022,15.00722917,35.87796875,45.84255208,0.056090278
6-Jan-2022,15.58338194,36.11566319,42.76257292,0.083128472
7-Jan-2022,14.63402431,36.51932639,43.78274306,0.123201389
8-Jan-2022,17.22367708,37.0028125,43.34325694,0.088159722
9-Jan-2022,19.10016319,35.83429514,43.58745139,0.151309028
10-Jan-2022,17.92946181,35.90809028,43.50678472,0.063934028
11-Jan-2022,17.10369097,35.96422222,43.5685625,0.162902778
12-Jan-2022,15.31871225,34.8416765,45.43188476,0.440253384
13-Jan-2022,18.01806597,36.17213889,44.42789583,0.16965625
14-Jan-2022,17.58971171,34.86279958,47.1387183,0.362855158
15-Jan-2022,22.53137847,35.35838194,44.71884028,0.149329861
16-Jan-2022,26.64125651,35.71360639,45.31724748,0.075890316
17-Jan-2022,28.02693028,36.04246965,45.34371488,0.050228928
18-Jan-2022,14.82069469,35.64587009,43.12719694,0.409246266
19-Jan-2022,10.34827897,34.91005205,43.8065406,0.28017696
20-Jan-2022,17.06755556,34.91415278,46.63404167,0.291086806
21-Jan-2022,24.53046181,34.23143056,55.3685,0.087822917
22-Jan-2022,23.96566319,34.22964236,55.75651736,0.192215278
23-Jan-2022,13.23569247,36.10940299,50.63553627,0.04740715
24-Jan-2022,13.34463889,35.94160069,47.14457292,0.069295139
25-Jan-2022,20.13714583,36.21047569,46.32079514,0.045885417
26-Jan-2022,33.90716319,36.57329861,48.51025694,0.068972222
27-Jan-2022,32.82898576,36.7589545,51.19161862,0.073921501
28-Jan-2022,40.50644608,37.06522759,51.91089986,0.041053922
29-Jan-2022,44.78274592,37.45235315,52.32872437,0.042141119
30-Jan-2022,32.01249653,37.43817708,49.32236458,0.075555556
31-Jan-2022,19.46963542,36.60525347,51.02060764,0.186430556
1-Feb-2022,20.92776119,36.73423464,53.16484901,0.132481777
2-Feb-2022,20.29617228,37.19741577,52.76541507,0.162097951
3-Feb-2022,14.80115278,37.58134375,50.89767708,0.090493056
4-Feb-2022,20.21780479,36.57623133,51.08369573,0.450767628
5-Feb-2022,21.99671875,35.89095486,47.14499306,0.548458333
6-Feb-2022,21.78025841,35.67521062,45.55978761,0.258534513
7-Feb-2022,39.8227058,36.89549844,46.66284126,0.129753387
8-Feb-2022,57.91685655,38.04356026,47.50913164,0.072903786
9-Feb-2022,53.93321069,36.46929538,54.74543908,0.132971191
10-Feb-2022,36.280719,36.33686697,57.0338694,0.026345953
11-Feb-2022,34.40289885,35.8273236,56.63202642,0.072273201
12-Feb-2022,38.18321863,34.38393118,61.22518943,0.070232881
13-Feb-2022,26.26143855,36.60636173,54.4962081,0.110052374
14-Feb-2022,14.85073688,35.82557873,56.66166145,0.165950643
15-Feb-2022,16.68763542,34.6096875,57.71776736,0.325815972
16-Feb-2022,26.55723862,35.06815561,56.66926363,0.182844738
17-Feb-2022,12.75277778,35.07346875,58.1314375,0.10684375
18-Feb-2022,10.62695245,36.35004859,55.52289483,0.13918084
19-Feb-2022,6.826306838,36.50004165,55.89464769,0.2877126
20-Feb-2022,9.902035429,36.77654741,55.70940257,0.316623828
21-Feb-2022,10.20221104,34.72160361,56.18152031,0.427622353
22-Feb-2022,12.4373898,35.30281499,48.43517876,0.139260673
23-Feb-2022,15.58385069,35.61753819,45.27372222,0.167878472
24-Feb-2022,19.28063194,34.60893056,41.42689236,0.408927083
25-Feb-2022,18.68943383,35.49311914,39.53983328,0.235647794
26-Feb-2022,23.26254078,36.15252343,38.23099618,0.109017702
27-Feb-2022,22.62699792,36.18521543,40.51732453,0.267112578
28-Feb-2022,33.13122831,37.82854615,44.24217557,0.103983345
1-Mar-2022,44.93310872,38.69441473,49.32224731,0.098825981
2-Mar-2022,535.3970133,37.94093487,52.57223739,0.160423669
3-Mar-2022,453.635316,37.40207292,53.08244444,0.107913194
4-Mar-2022,6203.63748,70.96762269,52.34307344,0.075997215
5-Mar-2022,3633.838038,43.67178422,55.12677723,0.090893855
6-Mar-2022,24.78101489,38.91926567,54.81593003,0.090148944
7-Mar-2022,26.69065785,37.91990254,57.78849983,0.155586495
8-Mar-2022,18.98347901,35.32865071,60.33937912,0.205143947
9-Mar-2022,21.07921664,36.5522149,59.59329289,0.057500867
10-Mar-2022,33.45638081,37.33134811,58.72038154,0.095679506
11-Mar-2022,37.85048866,38.34083659,57.72348319,0.025535575
12-Mar-2022,37.79508876,39.18117554,57.27158974,0.026232742
13-Mar-2022,41.0182433,39.11260785,56.9807773,0.099086669
14-Mar-2022,38.57512696,39.08046677,56.85463406,0.113640777
15-Mar-2022,26.17655744,39.97952919,55.02334463,0.092195857
16-Mar-2022,20.33818617,35.8648933,65.78984915,0.117137601
17-Mar-2022,20.14394784,38.068841,59.08009417,0.144473017
18-Mar-2022,22.33308328,35.60346131,66.08825753,0.071334908
19-Mar-2022,14.70149129,38.98964421,51.78947767,0.405427706
20-Mar-2022,18.91971528,36.0604375,57.6781875,0.1639375
21-Mar-2022,14.99812847,36.12171181,59.20678819,0.208451389
22-Mar-2022,9.583563498,36.5440458,58.25303262,0.258854962
23-Mar-2022,8.826376862,36.50533772,59.12745757,0.087474887
24-Mar-2022,14.88335531,36.76507287,58.00184594,0.090752949
25-Mar-2022,14.90941502,37.49145033,57.12520595,0.105437868
26-Mar-2022,12.34512314,39.65201179,52.00583073,0.061026708
27-Mar-2022,14.17535504,39.95152754,51.74845168,0.082781434
28-Mar-2022,11.08017678,38.30037088,53.51686655,0.407850953
29-Mar-2022,14.81631226,39.5883268,47.71996083,0.199552322
30-Mar-2022,11.64909343,39.14439792,51.56583737,0.139131488
31-Mar-2022,17.74318355,37.81103007,55.92275493,0.11366056
1-Apr-2022,8.906167706,36.91500347,52.08061331,0.602588358
2-Apr-2022,0.748210818,32.73225035,48.04176144,1.150322469
3-Apr-2022,6.073395768,30.55082206,52.20627125,0.344016649
4-Apr-2022,10.19053435,35.20657183,46.50779667,0.316408744
5-Apr-2022,10.66871964,37.31523248,44.09036433,0.290069396
6-Apr-2022,12.20384988,38.3022276,46.70075061,0.14765825
7-Apr-2022,21.35854224,37.556759,42.47857687,0.469331717
8-Apr-2022,38.15773074,36.83788341,37.03073907,0.615863983
9-Apr-2022,49.76898646,37.11654981,43.81814301,0.061180146
10-Apr-2022,66.95185982,38.13976058,46.84931298,0.058563498
11-Apr-2022,61.74173717,37.98919556,53.19782247,0.082531207
12-Apr-2022,49.98210271,38.39957321,54.41978487,0.09685288
13-Apr-2022,40.85697222,39.28803819,53.03398264,0.098923611
14-Apr-2022,35.21047867,39.55464447,50.79957683,0.087474853
15-Apr-2022,34.45713393,39.69584316,49.33074254,0.105239417
16-Apr-2022,32.83862786,39.95989258,51.21876992,0.115554401
17-Apr-2022,27.33826304,38.68926193,54.03789678,0.280083241
18-Apr-2022,13.80528265,33.23661793,65.10570175,0.418596491
19-Apr-2022,17.96636269,35.12067961,61.34176491,0.095599861
20-Apr-2022,17.24989255,36.89990295,55.40684229,0.098551127
21-Apr-2022,22.23205342,36.52099202,58.40860909,0.265157822
22-Apr-2022,14.25732433,37.8382693,56.36219107,0.086060921
23-Apr-2022,10.50159681,39.2554832,52.50625909,0.122642882
24-Apr-2022,13.80680969,39.51909689,52.91842907,0.154858131
25-Apr-2022,13.4699239,39.98045313,52.48866828,0.121286752
26-Apr-2022,11.61523413,39.62820673,54.14095387,0.183139091
27-Apr-2022,10.84909311,40.1396054,53.83984424,0.08527172
28-Apr-2022,16.32357738,37.76499306,58.80091603,0.132505205
29-Apr-2022,11.7609823,35.03161055,61.4897848,0.113606387
30-Apr-2022,11.19832524,38.63588766,53.90268724,0.204240638
1-May-2022,13.25228125,35.28905903,63.29613889,0.105545139
2-May-2022,2.815619577,32.73094759,61.12398473,0.052676154
3-May-2022,4.566814712,32.37010756,56.48560028,0.065246357
4-May-2022,7.536993056,33.93305556,55.92534722,0.050232639
5-May-2022,14.01108643,36.29883721,54.85701493,0.056976744
6-May-2022,10.7087301,36.32897232,58.83192388,0.199363322
7-May-2022,6.525174801,34.7311388,64.70372101,0.180252683
