date, pm25, pm10, o3, no2, so2, co
5/1/2022,76,31,19,4, , 
5/2/2022,63,24,11,4,2, 
5/3/2022,56,32,10,5, , 
5/4/2022,68,36,16,5, , 
5/5/2022,79,42,20,2, , 
5/6/2022,95,34,9,4, , 
5/7/2022,79,30,11,5, , 
5/8/2022,70,30,6,9, , 
5/9/2022,65,20,3,2, , 
5/10/2022,45,21,5,3, , 
5/11/2022,57,28,9,3, , 
5/12/2022,64,30,12,2, , 
5/13/2022,65,35,11,2, , 
5/14/2022,78,36,10,2, , 
5/15/2022,75,24,9,5, , 
5/16/2022,56,25,13,4,1, 
5/17/2022,57,25,11,4, , 
5/18/2022,58,24,2,2, , 
5/19/2022,56, , , , , 
4/1/2022,80,23,14,3, , 
4/2/2022,43,23,14,4, , 
4/3/2022,50,40,23,9, , 
4/4/2022,80,50,25,15,1, 
4/5/2022,96,56,26,15, , 
4/6/2022,115,49,18,13, , 
4/7/2022,114,65,29,16, , 
4/8/2022,153,72,36,14,1, 
4/9/2022,173,58,29,9, , 
4/10/2022,163,48,18,6, , 
4/11/2022,135,57,16,5, , 
4/12/2022,137,46,22,6, , 
4/13/2022,99,48,21,2, , 
4/14/2022,100,52,19,1, , 
4/15/2022,108,52,16,3, , 
4/16/2022,101,50,11,3, , 
4/17/2022,93,44,10,5, , 
4/18/2022,93,42,12,4, , 
4/19/2022,83,55,23,6,1, 
4/20/2022,99,57,14,3, , 
4/21/2022,89,60,10,6, , 
4/22/2022,67,54,8,3, , 
4/23/2022,56,49,8,4, , 
4/24/2022,63,57,7,3, , 
4/25/2022,59,57,7,3, , 
4/26/2022,60,46,18,7, , 
4/27/2022,72,29,11,7, , 
4/28/2022,72,29,22,5, , 
4/29/2022,60,48,19,7, , 
4/30/2022,97,31,19,5, , 
3/1/2022,105,43,13,5, , 
3/2/2022,77,38,10,6, , 
3/3/2022,75,42,14,6, , 
3/4/2022,80,45,11,5, , 
3/5/2022,84,39,9,5, , 
3/6/2022,80,35,11,4, , 
3/7/2022,71,45,17,10, , 
3/8/2022,89,70,41,17, , 
3/9/2022,147,46,14,5, , 
3/10/2022,93,48,11,4, , 
3/11/2022,86,50,14,5, , 
3/12/2022,93,49,15,4, , 
3/13/2022,93,38,11,6, , 
3/14/2022,79,30,11,7, , 
3/15/2022,59,23,8,2, , 
3/16/2022,50,23,9,1, , 
3/17/2022,54,36,8,4, , 
3/18/2022,72,36,27,4, , 
3/19/2022,85,36,5,6, , 
3/20/2022,76,27,4,5, , 
3/21/2022,56,31,2,6, , 
3/22/2022,56,58,5,5, , 
3/23/2022,74,57,4,6, , 
3/24/2022,70,60,4,4, , 
3/25/2022,66,31,6,3, , 
3/26/2022,59,26,7,3, , 
3/27/2022,55,32,10,5, , 
3/28/2022,71,30,11,5, , 
3/29/2022,64,34,18,5, , 
3/30/2022,69,42,27,9, , 
3/31/2022,84,42,14,4, , 
2/1/2022,68,31,9,4, , 
2/2/2022,58,35,10,6, , 
2/3/2022,66,37,15,11, , 
2/4/2022,73,48,17,15,1, 
2/5/2022,94,54,21,13,1, 
2/6/2022,112,62,27,18,1, 
2/7/2022,146,62,19,23,1, 
2/8/2022,144,39,20,7, , 
2/9/2022,88,37,18,8, , 
2/10/2022,77,37,17,6, , 
2/11/2022,69,43,14,10,1, 
