x,y,z
3.27,3.39,3.16
3.41,3.49,3.22
3.64,3.63,3.4
3.64,3.68,3.39
3.73,3.67,3.65
3.83,3.7,3.36
3.51,3.61,3.45
3.3,3.44,3.37
3.5,3.33,3.07
2.92,2.65,2.53
12.95,2.76,2.78
5.86,3.3,3.32
4.26,4.13,3.69
8.1,7.23,7.03
5.64,5.5,4.88
3.63,3.41,3.32
3.01,2.88,2.69
3.53,3.16,3.12
6.28,4.13,13.56
7.07,5.97,6.11
6.93,7.33,6.65
7.56,8.14,7.62
8.4,7.76,8.36
8.89,8.73,8.44
8.97,8.69,8.55
10.12,9.77,9.49
10.08,9.82,9.77
9.84,9.85,9.48
8.28,6.97,7.53
6.08,5.9,5.3
5.63,5.52,4.91
8.51,6.35,7.99
9.66,9.1,9.81
16.37,11.33,12.6
17.76,11.05,10.54
11.34,10.93,8.88
8.92,8.87,7.82
9.27,8.61,7.92
9.24,10,8.41
9.38,8.44,7.6
11.48,8.47,7.55
7.39,7.25,6.65
7.49,6.9,6.31
7.51,8.34,7.01
8.5,9.29,8.82
9.7,10.62,10.06
14.15,12.36,13.94
14.7,13.08,13.26
13.11,11.86,11.93
12.39,11.75,12.32
11.71,11.36,12.21
13.76,14.09,12.69
13.24,14.96,11.95
10.73,11.02,10.42
10.56,11.79,10.45
10.61,10.9,10.79
8.56,7.06,7.78
10.61,9.89,9.01
10.95,10.16,9.58
8.81,7.79,8.15
7.94,7.55,7.22
8.21,8.11,7.42
8.7,8.42,7.9
10.35,10.05,9.32
12.09,11.765,11.44
15.98,16.22,15.42
19.37,19.92,18.34
15.71,14.82,13.54
11.21,12.37,12.22
12.06,12.195,12.33
12.83,13.03,12.21
11.9,12.23,11.33
11.46,11.86,10.97
11.85,11.53,11.92
13.11,11.67,13.35
13.39,11.98,13.24
14.08,13.02,13.91
13.99,13.98,13.29
13.36,13.77,12.55
11.02,10.66,10.36
10.97,10.73,10.28
12.76,11.62,11.68
11.72,13.03,11.21
11.56,11.35,10.15
11.44,10.745,10.05
10.15,9.52,8.89
11.36,10.63,9.9
10.01,9.515,9.02
14.49,14.19,13.89
17.01,17.115,17.22
21.67,20.87,20.07
18.24,17.895,17.55
27.96,27.14,27.28
19.66,24.11,17.64
16.33,18.88,14.63
14.63,15.43,14.06
14.63,15.29,13.96
15.9,14.77,14.73
15.5,14.6,14.74
14.38,14.02,14.05
13.66,14.5,12.92
13.81,13.56,12.86
14.04,14.32,14.86
13.08,12.98,14.1
11.21,10.22,10.11
11.28,10.45,10.01
13.12,12.1,11.19
13.12,12.49,11.42
12.08,11.47,10.41
11.07,10.26,9.13
3.46,3.14,3.29
8.45,7.94,8.05
7.83,8.85,7.29
7.24,7.78,7.29
10.79,10.44,10.83
10.52,10.27,10.07
9.17,8.96,8.73
10.6,10.03,10.58
10.35,10.4,10.15
10.28,10.21,9.82
11.26,10.84,10.83
11.6,11.23,11.05
12.02,11.47,11.5
12.73,12.39,11.92
12.4,11.86,11.88
12.31,12.51,11.43
12.62,12.99,11.23
9.05,9.48,9.08
9.19,11.03,8.84
11.69,11.13,9.89
10,9.8,8.78
9.92,8.76,8.41
12.9,11.935,10.97
12.46,12.52,11.06
7.21,7.33,6.58
7.65,9.77,7.28
7.88,7.25,7.46
6.63,5.79,5.59
6.06,2.29,2.14
2.87,2.05,2.78
6.76,5.54,6.46
7.19,6.1,6.64
5.41,5.31,5.25
7.48,6.82,6.42
8.43,7.69,7.74
7.18,6.58,6.54
6.68,6.53,6.17
5.8,6.03,5.8
6.36,6.01,6.15
7.07,6.81,6.62
6.74,6.46,6.19
6.67,6.25,5.88
4.55,4.29,4.28
3.85,7.31,3.42
3.01,17.25,2.74
3.75,8.57,3.35
5.37,9.57,4.72
3.47,3.96,3.08
3.12,3.03,2.98
5.62,5.6,4.91
5.61,6.33,4.93
4.25,6.89,4.11
4.3,4.45,4.23
6.97,6.14,6.88
8.41,8.08,8.08
4.99,5.14,4.87
3.85,4.09,3.65
3.97,3.73,3.59
5.09,4.63,4.29
6.17,5.97,5.23
2.4,2.44,2.24
2.2,2.3,1.99
2.16,2.12,1.91
2.14,2.1,1.88
2.19,2.1,2.22
3.06,3.15,2.78
2.58,2.54,2.42
4,3.42,3.67
3.98,7.79,3.51
2.9,2.755,2.61
2.73,2.93,2.55
7.53,6.61,6.21
7.48,7.19,6.82
