date, pm25
11-May-2022-12 AM,3.27
11-May-2022-1 AM,3.41
11-May-2022-2 AM,3.64
11-May-2022-3 AM,3.64
11-May-2022-4 AM,3.73
11-May-2022-5 AM,3.83
11-May-2022-6 AM,3.51
11-May-2022-7 AM,3.3
11-May-2022-8 AM,3.5
11-May-2022-9 AM,2.92
11-May-2022-10 AM,12.95
11-May-2022-11 AM,5.86
11-May-2022-12 PM,4.26
11-May-2022-1 PM,8.1
11-May-2022-2 PM,5.64
11-May-2022-3 PM,3.63
11-May-2022-4 PM,3.01
11-May-2022-5 PM,3.53
11-May-2022-6 PM,6.28
11-May-2022-7 PM,7.07
11-May-2022-8 PM,6.93
11-May-2022-9 PM,7.56
11-May-2022-10 PM,8.4
11-May-2022-11 PM,8.89
12-May-2022-12 AM,8.97
12-May-2022-1 AM,10.12
12-May-2022-2 AM,10.08
12-May-2022-3 AM,9.84
12-May-2022-4 AM,8.28
12-May-2022-5 AM,6.08
12-May-2022-6 AM,5.63
12-May-2022-7 AM,8.51
12-May-2022-8 AM,9.66
12-May-2022-9 AM,16.37
12-May-2022-10 AM,17.76
12-May-2022-11 AM,11.34
12-May-2022-12 PM,8.92
12-May-2022-1 PM,9.27
12-May-2022-2 PM,9.24
12-May-2022-3 PM,9.38
12-May-2022-4 PM,11.48
12-May-2022-5 PM,7.39
12-May-2022-6 PM,7.49
12-May-2022-7 PM,7.51
12-May-2022-8 PM,8.5
12-May-2022-9 PM,9.7
12-May-2022-10 PM,14.15
12-May-2022-11 PM,14.7
13-May-2022-12 AM,13.11
13-May-2022-1 AM,12.39
13-May-2022-2 AM,11.71
13-May-2022-3 AM,13.76
13-May-2022-4 AM,13.24
13-May-2022-5 AM,10.73
13-May-2022-6 AM,10.56
13-May-2022-7 AM,10.61
13-May-2022-8 AM,8.56
13-May-2022-9 AM,10.61
13-May-2022-10 AM,10.95
13-May-2022-11 AM,8.81
13-May-2022-12 PM,7.94
13-May-2022-1 PM,8.21
13-May-2022-2 PM,8.7
13-May-2022-3 PM,10.35
13-May-2022-4 PM,12.09
13-May-2022-5 PM,15.98
13-May-2022-6 PM,19.37
13-May-2022-7 PM,15.71
13-May-2022-8 PM,11.21
13-May-2022-9 PM,12.06
13-May-2022-10 PM,12.83
13-May-2022-11 PM,11.9
14-May-2022-12 AM,11.46
14-May-2022-1 AM,11.85
14-May-2022-2 AM,13.11
14-May-2022-3 AM,13.39
14-May-2022-4 AM,14.08
14-May-2022-5 AM,13.99
14-May-2022-6 AM,13.36
14-May-2022-7 AM,11.02
14-May-2022-8 AM,10.97
14-May-2022-9 AM,12.76
14-May-2022-10 AM,11.72
14-May-2022-11 AM,11.56
14-May-2022-12 PM,11.44
14-May-2022-1 PM,10.15
14-May-2022-2 PM,11.36
14-May-2022-3 PM,10.01
14-May-2022-4 PM,14.49
14-May-2022-5 PM,17.01
14-May-2022-6 PM,21.67
14-May-2022-7 PM,18.24
14-May-2022-8 PM,27.96
14-May-2022-9 PM,19.66
14-May-2022-10 PM,16.33
14-May-2022-11 PM,14.63
15-May-2022-12 AM,14.63
15-May-2022-1 AM,15.9
15-May-2022-2 AM,15.5
15-May-2022-3 AM,14.38
15-May-2022-4 AM,13.66
15-May-2022-5 AM,13.81
15-May-2022-6 AM,14.04
15-May-2022-7 AM,13.08
15-May-2022-8 AM,11.21
15-May-2022-9 AM,11.28
15-May-2022-10 AM,13.12
15-May-2022-11 AM,13.12
15-May-2022-12 PM,12.08
15-May-2022-1 PM,11.07
15-May-2022-2 PM,3.46
15-May-2022-3 PM,8.45
15-May-2022-4 PM,7.83
15-May-2022-5 PM,7.24
15-May-2022-6 PM,10.79
15-May-2022-7 PM,10.52
15-May-2022-8 PM,9.17
15-May-2022-9 PM,10.6
15-May-2022-10 PM,10.35
15-May-2022-11 PM,10.28
16-May-2022-12 AM,11.26
16-May-2022-1 AM,11.6
16-May-2022-2 AM,12.02
16-May-2022-3 AM,12.73
16-May-2022-4 AM,12.4
16-May-2022-5 AM,12.31
16-May-2022-6 AM,12.62
16-May-2022-7 AM,9.05
16-May-2022-8 AM,9.19
16-May-2022-9 AM,11.69
16-May-2022-10 AM,10
16-May-2022-11 AM,9.92
16-May-2022-12 PM,12.9
